iter	Passed	Remaining
0	10	10154
1	25	12709
2	42	14223
3	58	14484
4	68	13663
5	76	12667
6	85	12141
7	91	11391
8	100	11029
9	112	11118
10	121	10942
11	127	10479
12	132	10065
13	141	9984
14	150	9897
15	157	9689
16	163	9427
17	173	9469
18	178	9234
19	187	9185
20	192	8961
21	198	8845
22	203	8653
23	212	8626
24	216	8461
25	223	8378
26	228	8232
27	236	8217
28	243	8142
29	249	8072
30	256	8014
31	264	8010
32	269	7892
33	274	7788
34	280	7735
35	285	7635
36	289	7546
37	294	7458
38	299	7376
39	304	7301
40	308	7225
41	315	7198
42	320	7127
43	326	7101
44	333	7076
45	338	7016
46	344	6988
47	349	6932
48	358	6950
49	364	6931
50	370	6890
51	378	6904
52	385	6887
53	397	6964
54	407	7002
55	412	6949
56	424	7016
57	434	7056
58	442	7060
59	449	7036
60	453	6986
61	458	6939
62	467	6950
63	479	7015
64	484	6968
65	492	6971
66	499	6952
67	505	6932
68	510	6891
69	515	6847
70	525	6875
71	531	6856
72	536	6813
73	541	6776
74	548	6760
75	554	6744
76	561	6729
77	567	6710
78	574	6695
79	578	6656
80	583	6623
81	590	6608
82	595	6574
83	605	6601
84	610	6570
85	616	6557
86	625	6561
87	629	6528
88	638	6532
89	648	6557
90	653	6526
91	658	6496
92	666	6500
93	671	6468
94	677	6458
95	688	6479
96	692	6450
97	697	6422
98	706	6427
99	712	6415
100	721	6421
101	727	6408
102	736	6411
103	746	6427
104	754	6431
105	759	6404
106	763	6376
107	768	6348
108	773	6323
109	778	6296
110	783	6271
111	787	6244
112	796	6248
113	800	6222
114	805	6198
115	810	6173
116	816	6163
117	823	6151
118	831	6152
119	837	6144
120	842	6123
121	851	6125
122	855	6101
123	862	6093
124	867	6071
125	877	6087
126	887	6102
127	894	6092
128	900	6082
129	905	6060
130	911	6049
131	916	6027
132	924	6029
133	929	6008
134	934	5987
135	941	5980
136	949	5978
137	954	5959
138	960	5951
139	965	5931
140	972	5921
141	980	5921
142	988	5924
143	995	5915
144	1003	5918
145	1013	5930
146	1018	5912
147	1025	5903
148	1035	5914
149	1040	5895
150	1046	5885
151	1051	5866
152	1056	5849
153	1064	5848
154	1071	5839
155	1081	5849
156	1086	5831
157	1090	5812
158	1099	5813
159	1109	5824
160	1114	5805
161	1120	5797
162	1129	5797
163	1139	5808
164	1149	5818
165	1156	5811
166	1164	5809
167	1178	5834
168	1185	5827
169	1192	5822
170	1200	5818
171	1205	5803
172	1210	5787
173	1216	5772
174	1221	5756
175	1232	5768
176	1237	5752
177	1242	5735
178	1246	5718
179	1253	5708
180	1257	5691
181	1262	5674
182	1268	5664
183	1273	5647
184	1278	5631
185	1284	5622
186	1291	5614
187	1296	5599
188	1306	5606
189	1311	5591
190	1316	5576
191	1324	5575
192	1335	5583
193	1342	5576
194	1346	5560
195	1355	5559
196	1360	5543
197	1368	5543
198	1373	5527
199	1378	5512
200	1384	5505
201	1391	5495
202	1403	5509
203	1407	5493
204	1412	5478
205	1421	5477
206	1427	5469
207	1432	5454
208	1441	5455
209	1452	5464
210	1461	5466
211	1470	5466
212	1475	5452
213	1482	5444
214	1491	5445
215	1496	5430
216	1504	5428
217	1511	5421
218	1518	5414
219	1523	5400
220	1527	5385
221	1536	5384
222	1541	5369
223	1546	5355
224	1552	5347
225	1557	5334
226	1567	5337
227	1575	5335
228	1584	5333
229	1590	5325
230	1597	5317
231	1603	5308
232	1612	5306
233	1618	5298
234	1625	5290
235	1631	5281
236	1636	5268
237	1641	5254
238	1645	5239
239	1650	5225
240	1656	5216
241	1661	5202
242	1671	5206
243	1681	5210
244	1686	5196
245	1690	5182
246	1699	5180
247	1705	5172
248	1710	5159
249	1715	5146
250	1720	5132
251	1725	5120
252	1729	5107
253	1736	5099
254	1742	5091
255	1747	5079
256	1752	5066
257	1762	5069
258	1767	5056
259	1777	5058
260	1782	5046
261	1788	5038
262	1793	5025
263	1799	5018
264	1808	5015
265	1814	5008
266	1819	4995
267	1824	4983
268	1829	4970
269	1835	4963
270	1840	4951
271	1845	4938
272	1855	4941
273	1860	4928
274	1866	4920
275	1875	4919
276	1879	4906
277	1884	4895
278	1891	4887
279	1899	4884
280	1907	4881
281	1916	4879
282	1926	4880
283	1935	4878
284	1941	4871
285	1946	4860
286	1956	4861
287	1963	4853
288	1968	4842
289	1976	4838
290	1981	4827
291	1986	4815
292	1994	4811
293	2002	4808
294	2008	4800
295	2013	4789
296	2018	4778
297	2025	4771
298	2029	4759
299	2036	4751
300	2042	4744
